,{0},{1},{2},{3},"{0, 1}","{0, 2}","{0, 3}","{1, 2}","{1, 3}","{2, 3}","{0, 1, 2}","{0, 1, 3}","{0, 2, 3}","{1, 2, 3}","{0, 1, 2, 3}",{}
"{0, 1, 2, 3}",299.0183,285.6903,300.38605,132.19214,287.1176,299.70123,63.99666,289.0317,56.137375,60.31498,289.44583,24.056229,26.685593,21.022884,0.0,302.3382
"{0, 1, 2}",12.834124,6.485221,12.170115,419.68127,3.0100546,11.718694,352.57187,2.7698991,344.99326,349.30054,0.0,313.00363,315.6045,310.24313,289.44583,14.792387
"{0, 1, 3}",322.64374,309.14117,324.02277,108.37718,310.61182,323.3362,40.218266,312.5755,32.238033,36.917484,313.00363,0.0,7.508397,6.7082767,24.056229,325.97784
"{0, 1}",15.000134,4.9970913,14.982929,417.30798,0.0,14.232709,350.24744,4.153031,342.57385,346.99747,3.0100546,310.61182,313.32837,307.9016,287.1176,17.525856
"{0, 2, 3}",324.71286,311.96176,326.08963,106.05678,313.32837,325.40195,37.591442,315.23712,31.44758,33.95399,315.6045,7.508397,0.0,8.646825,26.685593,328.04395
"{0, 2}",1.9987975,17.570566,1.4833512,429.6822,14.232709,0.0,362.4606,13.213737,355.33844,359.1721,11.718694,323.3362,325.40195,320.50568,299.70123,4.665329
"{0, 3}",361.7595,348.8449,363.1477,68.61691,350.24744,362.4606,0.0,352.19794,11.145434,8.330638,352.57187,40.218266,37.591442,43.39383,63.99666,365.10568
{0},0.0,18.588806,3.3459308,428.9918,15.000134,1.9987975,361.7595,14.436141,354.6544,358.4979,12.834124,322.64374,324.71286,319.8319,299.0183,6.3016295
"{1, 2, 3}",319.8319,306.41684,321.18112,111.46038,307.9016,320.50568,43.39383,309.80765,35.364193,39.600445,310.24313,6.7082767,8.646825,0.0,21.022884,323.1343
"{1, 2}",14.436141,4.8109837,12.7670965,419.2714,4.153031,13.213737,352.19794,0.0,344.54617,348.90442,2.7698991,312.5755,315.23712,309.80765,289.0317,15.311523
"{1, 3}",354.6544,341.04425,356.01968,76.5652,342.57385,355.33844,11.145434,344.54617,0.0,10.949354,344.99326,32.238033,31.44758,35.364193,56.137375,357.97638
{1},18.588806,0.0,17.303417,415.8288,4.9970913,17.570566,348.8449,4.8109837,341.04425,345.57248,6.485221,309.14117,311.96176,306.41684,285.6903,19.746988
"{2, 3}",358.4979,345.57248,359.85303,72.287346,346.99747,359.1721,8.330638,348.90442,10.949354,0.0,349.30054,36.917484,33.95399,39.600445,60.31498,361.8058
{2},3.3459308,17.303417,0.0,430.3647,14.982929,1.4833512,363.1477,12.7670965,356.01968,359.85303,12.170115,324.02277,326.08963,321.18112,300.38605,3.6813686
{3},428.9918,415.8288,430.3647,0.0,417.30798,429.6822,68.61691,419.2714,76.5652,72.287346,419.68127,108.37718,106.05678,111.46038,132.19214,432.3236
{},6.3016295,19.746988,3.6813686,432.3236,17.525856,4.665329,365.10568,15.311523,357.97638,361.8058,14.792387,325.97784,328.04395,323.1343,302.3382,0.0
