,{},p-value
"{0, 1, 2, 3}",5.354005,2.886579864025407e-15
"{0, 1, 2}",5.0995708,5.417888360170764e-14
"{0, 1, 3}",5.3492675,2.6645352591003757e-15
"{0, 1}",5.1037455,4.1300296516055823e-14
"{0, 2, 3}",5.2449718,7.105427357601002e-15
"{0, 2}",3.7103572,2.549025435172325e-10
"{0, 3}",5.233626,6.439293542825908e-15
{0},3.694158,3.953191107797238e-10
"{1, 2, 3}",5.2642355,7.993605777301127e-15
"{1, 2}",4.1864114,2.109845631537155e-11
"{1, 3}",5.2600355,5.995204332975845e-15
{1},4.177916,2.1617152512476423e-11
"{2, 3}",5.178662,3.086420008457935e-14
{2},3.4449868,1.1426951163073795e-08
{3},5.1547546,3.774758283725532e-14
{},0.0,
