,,Transformer,Transformer,Transformer,Transformer,Transformer,XGBoost,XGBoost,XGBoost,XGBoost,XGBoost
,, , ,Imputation,Imputation,Imputation, , ,Imputation,Imputation,Imputation
,,None,Dropped,Simple,Iterative,Miceforest,None,Dropped,Simple,Iterative,Miceforest
Dataset,Metric,,,,,,,,,,
sick,Accuracy,,,,,,,,,,
sick,NLL,,,,,,,,,,
hypothyroid,Accuracy,0.99,0.99,0.99,0.99,0.99,9.93e-01,9.94e-01,9.93e-01,9.92e-01,0.95
hypothyroid,NLL,0.06,0.07,0.06,0.06,0.07,0.03,0.03,0.03,0.03,0.15
ipums_la_99-small,Accuracy,0.82,nan,0.82,0.81,0.82,0.81,nan,0.82,0.81,0.81
ipums_la_99-small,NLL,0.41,nan,0.41,0.41,0.41,0.49,nan,0.49,0.49,0.48
ipums_la_98-small,Accuracy,0.79,nan,0.78,0.79,0.79,0.80,nan,0.79,0.80,0.79
ipums_la_98-small,NLL,0.50,nan,0.47,0.46,0.49,0.52,nan,0.54,0.54,0.65
ipums_la_97-small,Accuracy,,,,,,,,,,
ipums_la_97-small,NLL,,,,,,,,,,
cjs,Accuracy,,,,,,,,,,
cjs,NLL,,,,,,,,,,
pbcseq,Accuracy,,,,,,,,,,
pbcseq,NLL,,,,,,,,,,
colleges_usnews,Accuracy,,,,,,,,,,
colleges_usnews,NLL,,,,,,,,,,
kdd_ipums_la_97-small,Accuracy,,,,,,,,,,
kdd_ipums_la_97-small,NLL,,,,,,,,,,
MiceProtein,Accuracy,,,,,,,,,,
MiceProtein,NLL,,,,,,,,,,
rl,Accuracy,,,,,,,,,,
rl,NLL,,,,,,,,,,
kick,Accuracy,,,,,,,,,,
kick,NLL,,,,,,,,,,
okcupid-stem,Accuracy,0.57,0.60,0.58,0.56,0.55,0.68,0.71,0.67,0.68,0.62
okcupid-stem,NLL,0.83,0.78,0.83,0.87,0.85,0.68,0.66,0.70,0.68,0.83
pbcseq,RMSE,1.30,1.21,1.29,1.30,1.28,1.39,1.31,1.40,1.40,1.39
Moneyball,RMSE,,,,,,,,,,
house_prices_nominal,RMSE,1.32,nan,1.31,1.34,1.35,1.37,nan,1.37,1.37,1.35
colleges,RMSE,1.27,nan,1.25,1.23,1.26,1.27,nan,1.26,1.26,1.19
audit-data,RMSE,1.41,nan,1.38,1.40,1.37,1.41,nan,1.41,1.41,1.40
Code_Smells_Blob,RMSE,1.21,1.31,1.21,1.17,,1.25,1.32,1.25,1.26,
Code_Smells_Data_Class,RMSE,1.11,1.00e+00,1.10,1.11,1.13,1.16,1.13,1.16,1.17,1.20
